district,taluka,area,registrationNo,propertyName,propertyAddress,noOfRooms
North Goa,Bardez,Anjuna,HOT0000010,Mermaids Guest House,"H No 705 1 St Anthony Prias, Anjuna, Bardez, North
 Goa- 403509",7
North Goa,Bardez,Anjuna,HOT0000016,Baba Villa,"Dabolwaddo Chapora, Anjuna, Bardez, North Goa",6
North Goa,Bardez,Anjuna,HOT0000021,Ocean Pearl Guest House,"H.No. 800/4 , St Anthonys Praias, Anjuna, Bardez,
 North Goa- 403509",10
North Goa,Bardez,Anjuna,HOT0000022,Tellen Guest House,"H No 622, Small Vagator, Anjuna, Bardez, North Goa-
 403509",5
North Goa,Bardez,Anjuna,HOT0000028,Renes Guest House,"H.No.893,Monteiro Vaddo, Anjuna, Bardez, North Goa-
 403507",8
North Goa,Bardez,Anjuna,HOT0000029,Peaceful Guest House,"H.No.893/1,Monteirovaddo, Anjuna, Bardez, North
 Goa- 403509",2
North Goa,Bardez,Anjuna,HOT0000030,Anjali Guest House,"H.No 1666/8 Deul Waddo Vagator, Anjuna, Bardez,
 North Goa- 403509",1
North Goa,Bardez,Anjuna,HOT0000031,Anjali Guest House,"H.No 896/3 Mazal Vaddo, Anjuna, Bardez, North Goa",1
North Goa,Bardez,Anjuna,HOT0000035,Andrew Coutinho Guest House,"H.No-539, Coutinho Vaddo, Vagator, Anjuna, Bardez,
 North Goa- 403509",4
North Goa,Bardez,Anjuna,HOT0000037,M/S Sea Wave Inn,"H.No:659(1)A, C/O M/S Sea Wave Inn, D'Mello
 Waddo, Anjuna, Bardez, North Goa- 403509",7
North Goa,Bardez,Anjuna,HOT0000038,Reshma Guest House,"H No 523/2 And 523/4, Vagator, Anjuna, Bardez,
 North Goa- 403509",8
North Goa,Bardez,Anjuna,HOT0000042,Joria Guest House,"Joria H.No 555/2 A ,Opp. Skyking Resturant Vagathor,
 Anjuna, Bardez, North Goa- 403509",3
North Goa,Bardez,Anjuna,HOT0000044,"Angelica V. Desouza E
 Mendonca","H.No. 609, Small Vagator, Anjuna, Bardez, North Goa-
 403509",4
North Goa,Bardez,Anjuna,HOT0000047,Filomena Guest House,"Hno 691 Dmello Vaddo, Anjuna, Bardez, North Goa-
 403509",3
North Goa,Bardez,Anjuna,HOT0000049,Dias Villa,"H No 694/1 D Mello Vaddo, Anjuna, Bardez, North
 Goa- 403509",8
North Goa,Bardez,Anjuna,HOT0000050,Days Guest House,"Hno 1008 Mazal Vaddo, Anjuna, Bardez, North Goa-
 403509",6
North Goa,Bardez,Anjuna,HOT0000053,Paul Fernandes,"H.No. 1091, Kutchem Bhatt, Anjuna, Bardez, North
 Goa- 403509",4
North Goa,Bardez,Anjuna,HOT0000056,Emma Guest House,"H.No.660-1, Praias Vaddo, Anjuna, Bardez, North Goa",2
North Goa,Bardez,Anjuna,HOT0000057,Paradise Guest House,"H.No.853/1, Soranto, Anjuna, Bardez, North Goa-
 403509",6
North Goa,Bardez,Anjuna,HOT0000058,Goveia Resort,"H No 1704/3 A B & C Gumat Vaddo, Anjuna, Bardez,
 North Goa- 403509",24
North Goa,Bardez,Anjuna,HOT0000061,Vincent Villa,"H.No. 743/2, St Michael Vaddo, Anjuna, Bardez, North
 Goa- 403609",3
North Goa,Bardez,Anjuna,HOT0000074,Dsouzas House,"Praise De St Anton Anjuna Beach, Anjuna, Bardez,
 North Goa- 403509",3
North Goa,Bardez,Anjuna,HOT0000076,Ells Nest,"H.No :1607/1, Grand Chinvar, Anjuna, Bardez, North
 Goa",6
North Goa,Bardez,Anjuna,HOT0000078,Maria Dsouza,"H.No.841 Dmello Vaddo, Anjuna, Bardez, North Goa-
 403509",4
North Goa,Bardez,Anjuna,HOT0000079,The Hotel Oasis,"H.No-486(2), Mendonca Vaddo, Vagator, Anjuna,
 Bardez, North Goa- 403509",5
North Goa,Bardez,Anjuna,HOTN000082,Douglas Guest House,"H.No. 980/1, Mazal Vaddo, Anjuna, Bardez, North Goa",2
North Goa,Bardez,Anjuna,HOTN000086,Vasu Guest House,"H No 11 A Chapora Bandir Wadda, Anjuna, Bardez,
 North Goa",4
North Goa,Bardez,Anjuna,HOTN000099,Arc Bunglow,"H.No. 1637 Deul Vaddo Chivar, Anjuna, Bardez, North
 Goa",2
North Goa,Bardez,Anjuna,HOTN000100,Jaws Guest House,"H.No.490/2 Mendonca Vaddo Vagator, Anjuna,
 Bardez, North Goa- 403509",11
North Goa,Bardez,Anjuna,HOTN000101,Candida Guest House,"H.No- 675, D'Mello Vaddo,, Anjuna, Bardez, North Goa",2
North Goa,Bardez,Anjuna,HOTN000102,Hill View Guest House,"H.No.649/2, Demello Vado, Anjuna, Bardez, North
 Goa- 403509",5
North Goa,Bardez,Anjuna,HOTN000103,Four Seasons Guest House,"H.No.674/4 Dmello Vaddo, Anjuna, Bardez, North Goa",4
North Goa,Bardez,Anjuna,HOTN000104,Manulino Guest House,"H.No.855/1 Sorranto Vaddo, Anjuna, Bardez, North
 Goa",3
North Goa,Bardez,Anjuna,HOTN000106,Hacienda De Goa Resort,"H.No 1669/5 Grande Chiuvar, Anjuna, Bardez, North
 Goa- 403509",22
North Goa,Bardez,Anjuna,HOTN000114,Sally S Guest House,"H No 347 Dabhol Vaddo, Anjuna, Bardez, North Goa-
 403509",3
North Goa,Bardez,Anjuna,HOTN000117,Matilda Coutinho,"H.No.532 Coutinho Vaddo Vagator, Anjuna, Bardez,
 North Goa- 403509",2
North Goa,Bardez,Anjuna,HOTN000119,Monty Guest House,"Monteiro Vaddo, Anjuna, Bardez, North Goa- 403509",1
North Goa,Bardez,Anjuna,HOTN000124,Joe House,"Praias Vaddo, Anjuna, Bardez, North Goa- 403509",4
North Goa,Bardez,Anjuna,HOTN000125,Regina Guest House,"H.No 1096/1 Chutchem Bhatt, Anjuna, Bardez, North
 Goa- 403509",1
North Goa,Bardez,Anjuna,HOTN000127,Sea And Sand,"Goeamcaris Vaddo, Anjuna, Bardez, North Goa-
 403509",2
